"wv,m",B
0.000000785,1.18E+03
0.000000787,1.18E+03
0.000000789,1.17E+03
0.000000791,1.16E+03
0.000000793,1.14E+03
0.000000795,1.13E+03
0.000000797,1.15E+03
0.000000799,1.14E+03
0.000000801,1.14E+03
0.000000803,1.13E+03
0.000000805,1.12E+03
0.000000807,1.12E+03
0.000000809,1.10E+03
0.000000811,1.11E+03
0.000000813,1.12E+03
0.000000815,1.11E+03
0.000000817,1.10E+03
0.000000819,1.06E+03
0.000000821,1.08E+03
0.000000823,1.07E+03
0.000000825,1.08E+03
0.000000826,1.08E+03
0.000000828,1.08E+03
0.00000083,1.06E+03
0.000000832,1.05E+03
0.000000834,1.04E+03
0.000000836,1.05E+03
0.000000838,1.04E+03
0.00000084,1.04E+03
0.000000842,1.04E+03
0.000000844,1.02E+03
0.000000846,1.03E+03
0.000000848,1.02E+03
0.00000085,9.66E+02
0.000000852,9.96E+02
0.000000854,8.78E+02
0.000000856,9.76E+02
0.000000858,1.01E+03
0.00000086,9.97E+02
0.000000862,9.95E+02
0.000000864,9.99E+02
0.000000866,8.86E+02
0.000000868,9.40E+02
0.00000087,9.75E+02
0.000000872,9.83E+02
0.000000874,9.71E+02
0.000000876,9.64E+02
0.000000878,9.75E+02
0.00000088,9.55E+02
0.000000882,9.51E+02
0.000000884,9.58E+02
0.000000886,9.38E+02
0.000000888,9.44E+02
0.00000089,9.53E+02
0.000000892,9.39E+02
0.000000894,9.33E+02
0.000000896,9.39E+02
0.000000898,9.34E+02
0.0000009,9.16E+02
0.000000902,8.92E+02
0.000000904,9.29E+02
0.000000906,9.18E+02
0.000000908,9.03E+02
0.00000091,8.92E+02
0.000000912,8.97E+02
0.000000914,9.07E+02
0.000000916,9.00E+02
0.000000918,8.95E+02
0.00000092,8.91E+02
0.000000922,8.63E+02
0.000000924,8.59E+02
0.000000926,8.61E+02
0.000000928,8.77E+02
0.00000093,8.68E+02
0.000000932,8.65E+02
0.000000934,8.64E+02
0.000000936,8.55E+02
0.000000938,8.58E+02
0.00000094,8.44E+02
0.000000942,8.25E+02
0.000000944,8.32E+02
0.000000946,8.38E+02
0.000000948,8.41E+02
0.00000095,8.37E+02
0.000000952,8.32E+02
0.000000954,8.08E+02
0.000000956,8.08E+02
0.000000958,8.19E+02
0.00000096,8.15E+02
0.000000962,8.09E+02
0.000000964,8.01E+02
0.000000966,7.95E+02
0.000000968,7.97E+02
0.00000097,7.96E+02
0.000000972,7.94E+02
0.000000974,7.82E+02
0.000000976,7.83E+02
0.000000978,7.78E+02
0.00000098,7.75E+02
0.000000982,7.76E+02
0.000000984,7.70E+02
0.000000986,7.66E+02
0.000000988,7.62E+02
0.00000099,7.54E+02
0.000000992,7.57E+02
0.000000994,7.56E+02
0.000000996,7.53E+02
0.000000998,7.51E+02
0.000001,7.48E+02
0.000001002,7.47E+02
0.000001004,7.26E+02
0.000001006,7.14E+02
0.000001008,7.34E+02
0.00000101,7.31E+02
0.000001012,7.26E+02
0.000001014,7.21E+02
0.000001016,7.14E+02
0.000001018,7.11E+02
0.00000102,7.04E+02
0.000001022,7.02E+02
0.000001024,7.05E+02
0.000001026,7.03E+02
0.000001028,6.99E+02
0.00000103,6.94E+02
0.000001032,6.91E+02
0.000001034,6.82E+02
0.000001036,6.84E+02
0.000001038,6.77E+02
0.00000104,6.76E+02
0.000001042,6.75E+02
0.000001044,6.71E+02
0.000001046,6.60E+02
0.000001048,6.64E+02
0.00000105,6.62E+02
0.000001052,6.59E+02
0.000001054,6.55E+02
0.000001056,6.56E+02
0.000001058,6.45E+02
0.00000106,6.42E+02
0.000001062,6.44E+02
0.000001064,6.46E+02
0.000001066,6.40E+02
0.000001068,6.32E+02
0.00000107,6.24E+02
0.000001072,6.33E+02
0.000001074,6.28E+02
0.000001076,6.28E+02
0.000001078,6.27E+02
0.00000108,6.25E+02
0.000001082,6.10E+02
0.000001084,6.18E+02
0.000001086,6.21E+02
0.000001088,6.10E+02
0.00000109,6.20E+02
0.000001092,6.16E+02
0.000001094,5.85E+02
0.000001096,5.98E+02
0.000001098,5.96E+02
0.0000011,6.04E+02
0.000001102,5.93E+02
0.000001104,5.97E+02
0.000001106,5.95E+02
0.000001108,5.92E+02
0.00000111,5.91E+02
0.000001112,5.84E+02
0.000001114,5.84E+02
0.000001116,5.83E+02
0.000001118,5.82E+02
0.00000112,5.74E+02
0.000001122,5.80E+02
0.000001124,5.77E+02
0.000001126,5.66E+02
0.000001128,5.70E+02
0.00000113,5.65E+02
0.000001132,5.68E+02
0.000001134,5.64E+02
0.000001136,5.66E+02
0.000001138,5.57E+02
0.00000114,5.53E+02
0.000001142,5.53E+02
0.000001144,5.51E+02
0.000001146,5.55E+02
0.000001148,5.53E+02
0.00000115,5.49E+02
0.000001152,5.46E+02
0.000001154,5.48E+02
0.000001156,5.46E+02
0.000001158,5.44E+02
